file_name,accession,name,full_header
PQ586980.fasta,PQ586980.1,"Camellia gymnogyna isolate GLM245166 chloroplast, complete genome","PQ586980.1 Camellia gymnogyna isolate GLM245166 chloroplast, complete genome"
PZ054906.fasta,PZ054906.1,"Camellia hamyenensis isolate HY1 chloroplast, complete genome","PZ054906.1 Camellia hamyenensis isolate HY1 chloroplast, complete genome"
PQ658191.fasta,PQ658191.1,"Camellia ilicifolia isolate lz20230801-2 chloroplast, complete genome","PQ658191.1 Camellia ilicifolia isolate lz20230801-2 chloroplast, complete genome"
OQ503554.fasta,OQ503554.1,"Camellia impressinervis isolate KM35 chloroplast, complete genome","OQ503554.1 Camellia impressinervis isolate KM35 chloroplast, complete genome"
OQ503617.fasta,OQ503617.1,"Camellia irrawadiensis isolate re430 chloroplast, complete genome","OQ503617.1 Camellia irrawadiensis isolate re430 chloroplast, complete genome"
PX924887.fasta,PX924887.1,"Camellia japonica chloroplast, complete genome","PX924887.1 Camellia japonica chloroplast, complete genome"
OQ503592.fasta,OQ503592.1,"Camellia kwangsiensis isolate re372 chloroplast, complete genome","OQ503592.1 Camellia kwangsiensis isolate re372 chloroplast, complete genome"
PQ539949.fasta,PQ539949.1,"Camellia kweichowensis chloroplast, complete genome","PQ539949.1 Camellia kweichowensis chloroplast, complete genome"
OQ503613.fasta,OQ503613.1,"Camellia leptophylla isolate re426 chloroplast, complete genome","OQ503613.1 Camellia leptophylla isolate re426 chloroplast, complete genome"
PQ539950.fasta,PQ539950.1,"Camellia longistyla chloroplast, complete genome","PQ539950.1 Camellia longistyla chloroplast, complete genome"
PQ849573.fasta,PQ849573.1,"Camellia luteoflora chloroplast, complete genome","PQ849573.1 Camellia luteoflora chloroplast, complete genome"
PV345991.fasta,PV345991.1,"Camellia melliana chloroplast, complete genome","PV345991.1 Camellia melliana chloroplast, complete genome"
PV821920.fasta,PV821920.1,"Camellia nitidissima chloroplast, complete genome","PV821920.1 Camellia nitidissima chloroplast, complete genome"
PQ539951.fasta,PQ539951.1,"Camellia paucipetala chloroplast, complete genome","PQ539951.1 Camellia paucipetala chloroplast, complete genome"
OQ503616.fasta,OQ503616.1,"Camellia pilosperma isolate re429 chloroplast, complete genome","OQ503616.1 Camellia pilosperma isolate re429 chloroplast, complete genome"
PQ539952.fasta,PQ539952.1,"Camellia pitardii chloroplast, complete genome","PQ539952.1 Camellia pitardii chloroplast, complete genome"
OQ503614.fasta,OQ503614.1,"Camellia ptilophylla isolate re427 chloroplast, complete genome","OQ503614.1 Camellia ptilophylla isolate re427 chloroplast, complete genome"
OQ503556.fasta,OQ503556.1,"Camellia quinquelocularis isolate PA07 chloroplast, complete genome","OQ503556.1 Camellia quinquelocularis isolate PA07 chloroplast, complete genome"
OQ503548.fasta,OQ503548.1,"Camellia reticulata isolate KM4 chloroplast, complete genome","OQ503548.1 Camellia reticulata isolate KM4 chloroplast, complete genome"
PQ658189.fasta,PQ658189.1,"Camellia rubimuricata isolate 2 chloroplast, complete genome","PQ658189.1 Camellia rubimuricata isolate 2 chloroplast, complete genome"
OQ503553.fasta,OQ503553.1,"Camellia sasanqua isolate KM28 chloroplast, complete genome","OQ503553.1 Camellia sasanqua isolate KM28 chloroplast, complete genome"
PV243281.fasta,PV243281.1,"Camellia shangshii isolate 3806_02 chloroplast, complete genome","PV243281.1 Camellia shangshii isolate 3806_02 chloroplast, complete genome"
PV915198.fasta,PV915198.1,"Camellia sinensis isolate ro-jblpw90 cultivar Wuniuzaocha chloroplast, complete genome","PV915198.1 Camellia sinensis isolate ro-jblpw90 cultivar Wuniuzaocha chloroplast, complete genome"
PX851737.fasta,PX851737.1,"Camellia sinensis var. assamica cultivar zhuyedong1 chloroplast, complete genome","PX851737.1 Camellia sinensis var. assamica cultivar zhuyedong1 chloroplast, complete genome"
OQ503623.fasta,OQ503623.1,"Camellia sinensis var. lasiocalyx isolate W34 chloroplast, complete genome","OQ503623.1 Camellia sinensis var. lasiocalyx isolate W34 chloroplast, complete genome"
OQ503539.fasta,OQ503539.1,"Camellia sinensis var. pubilimba isolate HZ002 chloroplast, complete genome","OQ503539.1 Camellia sinensis var. pubilimba isolate HZ002 chloroplast, complete genome"
OQ503558.fasta,OQ503558.1,"Camellia sinensis var. sinensis isolate re002 chloroplast, complete genome","OQ503558.1 Camellia sinensis var. sinensis isolate re002 chloroplast, complete genome"
PQ539953.fasta,PQ539953.1,"Camellia sp. XX-2024b chloroplast, complete genome","PQ539953.1 Camellia sp. XX-2024b chloroplast, complete genome"
PQ586981.fasta,PQ586981.1,"Camellia tachangensis isolate GLM245175 chloroplast, complete genome","PQ586981.1 Camellia tachangensis isolate GLM245175 chloroplast, complete genome"
PQ586982.fasta,PQ586982.1,"Camellia tachangensis var. remotiserrata isolate YH02 chloroplast, complete genome","PQ586982.1 Camellia tachangensis var. remotiserrata isolate YH02 chloroplast, complete genome"
OQ503604.fasta,OQ503604.1,"Camellia taliensis isolate re411 chloroplast, complete genome","OQ503604.1 Camellia taliensis isolate re411 chloroplast, complete genome"
OQ503552.fasta,OQ503552.1,"Camellia tsaii isolate KM23 chloroplast, complete genome","OQ503552.1 Camellia tsaii isolate KM23 chloroplast, complete genome"
PV612622.fasta,PV612622.1,"Camellia yokdonensis chloroplast, complete genome","PV612622.1 Camellia yokdonensis chloroplast, complete genome"
OQ503551.fasta,OQ503551.1,"Camellia yunnanensis var. camellioides isolate KM8 chloroplast, complete genome","OQ503551.1 Camellia yunnanensis var. camellioides isolate KM8 chloroplast, complete genome"
PX794973.fasta,PX794973.1,"Campeiostachys dahurica isolate 2024102149 chloroplast, complete genome","PX794973.1 Campeiostachys dahurica isolate 2024102149 chloroplast, complete genome"
PX794984.fasta,PX794984.1,"Campeiostachys dahurica var. cylindrica isolate P11 chloroplast, complete genome","PX794984.1 Campeiostachys dahurica var. cylindrica isolate P11 chloroplast, complete genome"
PX794999.fasta,PX794999.1,"Campeiostachys dahurica var. excelsa isolate 202409151152 chloroplast, complete genome","PX794999.1 Campeiostachys dahurica var. excelsa isolate 202409151152 chloroplast, complete genome"
PX794996.fasta,PX794996.1,"Campeiostachys dahurica var. tangutorum isolate 2024102146 chloroplast, complete genome","PX794996.1 Campeiostachys dahurica var. tangutorum isolate 2024102146 chloroplast, complete genome"
PX795004.fasta,PX795004.1,"Campeiostachys nutans isolate 2024072312 chloroplast, complete genome","PX795004.1 Campeiostachys nutans isolate 2024072312 chloroplast, complete genome"
OR264217.fasta,OR264217.1,"Camphora bodinieri voucher CFL2756 chloroplast, complete genome","OR264217.1 Camphora bodinieri voucher CFL2756 chloroplast, complete genome"
OR264223.fasta,OR264223.1,"Camphora illicioides voucher MX057 chloroplast, complete genome","OR264223.1 Camphora illicioides voucher MX057 chloroplast, complete genome"
ON929876.fasta,ON929876.1,"Camphorosma monspeliaca chloroplast, complete genome","ON929876.1 Camphorosma monspeliaca chloroplast, complete genome"
PQ595655.fasta,PQ595655.1,"Camptostemon philippinensis chloroplast, complete genome","PQ595655.1 Camptostemon philippinensis chloroplast, complete genome"
PV231884.1.fasta,PV231884.1,"Campylodiscus clypeus chloroplast, complete genome","PV231884.1 Campylodiscus clypeus chloroplast, complete genome"
ON149840.fasta,ON149840.1,"Cananga odorata chloroplast, complete genome","ON149840.1 Cananga odorata chloroplast, complete genome"
PQ768873.fasta,PQ768873.1,"Canarium ovatum chloroplast, complete genome","PQ768873.1 Canarium ovatum chloroplast, complete genome"
PV174432.fasta,PV174432.1,"Canavalia ensiformis chloroplast, complete genome","PV174432.1 Canavalia ensiformis chloroplast, complete genome"
PV216845.fasta,PV216845.1,"Canella winterana chloroplast, complete genome","PV216845.1 Canella winterana chloroplast, complete genome"
PQ858238.fasta,PQ858238.1,"Cannabis sativa voucher Felina 32 chloroplast, complete genome","PQ858238.1 Cannabis sativa voucher Felina 32 chloroplast, complete genome"
PP706108.fasta,PP706108.1,"Capparis cartilaginea chloroplast, complete genome","PP706108.1 Capparis cartilaginea chloroplast, complete genome"
PP706109.fasta,PP706109.1,"Capparis spinosa var. aegyptia chloroplast, complete genome","PP706109.1 Capparis spinosa var. aegyptia chloroplast, complete genome"
PP706110.fasta,PP706110.1,"Capparis spinosa var. canescens chloroplast, complete genome","PP706110.1 Capparis spinosa var. canescens chloroplast, complete genome"
PP706111.fasta,PP706111.1,"Capparis spinosa var. deserti chloroplast, complete genome","PP706111.1 Capparis spinosa var. deserti chloroplast, complete genome"
PP706112.fasta,PP706112.1,"Capparis spinosa var. inermis chloroplast, complete genome","PP706112.1 Capparis spinosa var. inermis chloroplast, complete genome"
PP103301.fasta,PP103301.1,"Capsella rubella chloroplast, complete genome","PP103301.1 Capsella rubella chloroplast, complete genome"
PP952456.fasta,PP952456.1,"Capsicum annuum chloroplast, complete genome","PP952456.1 Capsicum annuum chloroplast, complete genome"
PP952457.fasta,PP952457.1,"Capsicum baccatum chloroplast, complete genome","PP952457.1 Capsicum baccatum chloroplast, complete genome"
PV870771.fasta,PV870771.1,"Caragana erinacea voucher Yi378-KUN chloroplast, complete genome","PV870771.1 Caragana erinacea voucher Yi378-KUN chloroplast, complete genome"
PV870669.fasta,PV870669.1,"Caragana halodendron voucher 15CS10318-KUN chloroplast, complete genome","PV870669.1 Caragana halodendron voucher 15CS10318-KUN chloroplast, complete genome"
PV870829.fasta,PV870829.1,"Caragana rosea voucher Yi15294-Yi Lab chloroplast, complete genome","PV870829.1 Caragana rosea voucher Yi15294-Yi Lab chloroplast, complete genome"
PP103302.fasta,PP103302.1,"Cardamine amara subsp. amara chloroplast, complete genome","PP103302.1 Cardamine amara subsp. amara chloroplast, complete genome"
PP719683.fasta,PP719683.1,"Cardamine anhuiensis chloroplast, complete genome","PP719683.1 Cardamine anhuiensis chloroplast, complete genome"
PP719684.fasta,PP719684.1,"Cardamine engleriana chloroplast, complete genome","PP719684.1 Cardamine engleriana chloroplast, complete genome"
PP719685.fasta,PP719685.1,"Cardamine fragariifolia chloroplast, complete genome","PP719685.1 Cardamine fragariifolia chloroplast, complete genome"
PP719686.fasta,PP719686.1,"Cardamine hygrophila chloroplast, complete genome","PP719686.1 Cardamine hygrophila chloroplast, complete genome"
PP780912.fasta,PP780912.1,"Cardamine komarovii voucher KRIB 0093216 chloroplast, complete genome","PP780912.1 Cardamine komarovii voucher KRIB 0093216 chloroplast, complete genome"
PP780911.fasta,PP780911.1,"Cardamine leucantha voucher KRIB 0085766 chloroplast, complete genome","PP780911.1 Cardamine leucantha voucher KRIB 0085766 chloroplast, complete genome"
PX328981.fasta,PX328981.1,"Cardamine libagouensis chloroplast, complete genome","PX328981.1 Cardamine libagouensis chloroplast, complete genome"
PP719687.fasta,PP719687.1,"Cardamine lyrata chloroplast, complete genome","PP719687.1 Cardamine lyrata chloroplast, complete genome"
PP103303.fasta,PP103303.1,"Cardamine rivularis chloroplast, complete genome","PP103303.1 Cardamine rivularis chloroplast, complete genome"
PP780910.fasta,PP780910.1,"Cardamine scutata voucher KRIB 0094944 chloroplast, complete genome","PP780910.1 Cardamine scutata voucher KRIB 0094944 chloroplast, complete genome"
OR387683.fasta,OR387683.1,"Cardiospermum halicacabum chloroplast, complete genome","OR387683.1 Cardiospermum halicacabum chloroplast, complete genome"
