B._subtilis_strain_SRCM116301.fna	B._subtilis_strain_PK5_52.fna	98.874	1315	1391
B._subtilis_strain_SRCM116301.fna	B._subtilis_strain_4ZT.fna	98.5505	1262	1391
B._subtilis_strain_SRCM116301.fna	B._subtilis_strain_YZ-1.fna	98.4976	1319	1391
B._subtilis_strain_SRCM116301.fna	B._subtilis_isolate_NRS6105_NRS6105_1.fna	98.4789	1304	1391
B._subtilis_strain_SRCM116301.fna	B._halotolerans_strain_KKD1.fna	87.443	1182	1391
B._subtilis_strain_SRCM116301.fna	B._velezensis_strain_Pm9.fna	81.1425	668	1391
B._subtilis_strain_SRCM116301.fna	B._velezensis_strain_BS-G1.fna	81.0696	669	1391
B._subtilis_strain_SRCM116301.fna	B._velezensis_strain_JM199.fna	81.0378	677	1391
B._subtilis_strain_SRCM116301.fna	B._velezensis_strain_NJAU-Z9.fna	81.0156	673	1391
B._subtilis_strain_SRCM116301.fna	B._velezensis_strain_DJ4.fna	80.9881	689	1391
B._subtilis_strain_SRCM116301.fna	B._velezensis_strain_SCGB_574.fna	80.9804	701	1391
B._subtilis_strain_SRCM116301.fna	B._velezensis_strain_SMU-T0423.fna	80.9477	694	1391
B._subtilis_strain_SRCM116301.fna	Strain_FO-S2.fna	80.8347	658	1391
B._subtilis_strain_SRCM116301.fna	B._velezensis_strain_Ag75.fna	80.7762	693	1391
B._subtilis_strain_SRCM116301.fna	B._paralicheniformis_strain_SUBG0010.fna	79.2255	352	1391
B._subtilis_strain_SRCM116301.fna	B._sonorensis_strain_SRCM101395.fna	79.1236	387	1391
B._subtilis_strain_YZ-1.fna	B._subtilis_strain_YZ-1.fna	100	1423	1427
B._subtilis_strain_YZ-1.fna	B._subtilis_isolate_NRS6105_NRS6105_1.fna	98.552	1315	1427
B._subtilis_strain_YZ-1.fna	B._subtilis_strain_SRCM116301.fna	98.5117	1319	1427
B._subtilis_strain_YZ-1.fna	B._subtilis_strain_K35-1.fna	98.4356	1304	1427
B._subtilis_strain_YZ-1.fna	B._subtilis_strain_4ZT.fna	98.3707	1298	1427
B._subtilis_strain_YZ-1.fna	B._subtilis_strain_PK5_52.fna	98.3434	1300	1427
B._subtilis_strain_YZ-1.fna	B._halotolerans_strain_KKD1.fna	87.5998	1229	1427
B._subtilis_strain_YZ-1.fna	B._velezensis_strain_BS-G1.fna	81.3876	673	1427
B._subtilis_strain_YZ-1.fna	B._velezensis_strain_JM199.fna	81.3801	683	1427
B._subtilis_strain_YZ-1.fna	B._velezensis_strain_SCGB_574.fna	81.3426	675	1427
B._subtilis_strain_YZ-1.fna	B._velezensis_strain_Pm9.fna	81.3035	676	1427
B._subtilis_strain_YZ-1.fna	B._velezensis_strain_NJAU-Z9.fna	81.2381	669	1427
B._subtilis_strain_YZ-1.fna	B._velezensis_strain_DJ4.fna	81.1525	693	1427
B._subtilis_strain_YZ-1.fna	B._velezensis_strain_Ag75.fna	81.1507	659	1427
B._subtilis_strain_YZ-1.fna	Strain_FO-S2.fna	81.077	668	1427
B._subtilis_strain_YZ-1.fna	B._velezensis_strain_SMU-T0423.fna	81.0723	693	1427
B._subtilis_strain_YZ-1.fna	B._sonorensis_strain_SRCM101395.fna	79.0778	398	1427
B._subtilis_strain_YZ-1.fna	B._paralicheniformis_strain_SUBG0010.fna	78.9811	345	1427
B._toyonensis_strain_Bto-42.fna	B._toyonensis_strain_Bto-42.fna	100	2099	2109
B._toyonensis_strain_Bto-42.fna	B._cereus_strain_PT1.fna	90.984	1490	2109
B._toyonensis_strain_Bto-42.fna	B._paranthracis_strain_KF11.fna	90.7401	1479	2109
B._velezensis_strain_Ag75.fna	B._velezensis_strain_Ag75.fna	100	1324	1326
B._velezensis_strain_Ag75.fna	B._velezensis_strain_JM199.fna	98.4391	1259	1326
B._velezensis_strain_Ag75.fna	B._velezensis_strain_SCGB_574.fna	98.1482	1251	1326
B._velezensis_strain_Ag75.fna	B._velezensis_strain_BS-G1.fna	98.0686	1245	1326
B._velezensis_strain_Ag75.fna	Strain_FO-S2.fna	98.0233	1242	1326
B._velezensis_strain_Ag75.fna	B._velezensis_strain_NJAU-Z9.fna	97.5506	1241	1326
B._velezensis_strain_Ag75.fna	B._velezensis_strain_Pm9.fna	97.5477	1242	1326
B._velezensis_strain_Ag75.fna	B._velezensis_strain_SMU-T0423.fna	97.5291	1241	1326
B._velezensis_strain_Ag75.fna	B._velezensis_strain_DJ4.fna	97.4586	1251	1326
B._velezensis_strain_Ag75.fna	B._subtilis_isolate_NRS6105_NRS6105_1.fna	81.2005	664	1326
B._velezensis_strain_Ag75.fna	B._subtilis_strain_YZ-1.fna	81.1674	678	1326
B._velezensis_strain_Ag75.fna	B._subtilis_strain_4ZT.fna	81.0926	665	1326
B._velezensis_strain_Ag75.fna	B._subtilis_strain_K35-1.fna	81.0836	673	1326
B._velezensis_strain_Ag75.fna	B._subtilis_strain_PK5_52.fna	81.0485	678	1326
B._velezensis_strain_Ag75.fna	B._subtilis_strain_SRCM116301.fna	81.0101	669	1326
B._velezensis_strain_Ag75.fna	B._halotolerans_strain_KKD1.fna	80.922	737	1326
B._velezensis_strain_Ag75.fna	B._sonorensis_strain_SRCM101395.fna	78.727	341	1326
B._velezensis_strain_Ag75.fna	B._paralicheniformis_strain_SUBG0010.fna	78.6454	353	1326
B._velezensis_strain_BS-G1.fna	B._velezensis_strain_BS-G1.fna	100	1308	1309
B._velezensis_strain_BS-G1.fna	Strain_FO-S2.fna	98.6881	1241	1309
B._velezensis_strain_BS-G1.fna	B._velezensis_strain_Ag75.fna	98.0693	1256	1309
B._velezensis_strain_BS-G1.fna	B._velezensis_strain_SCGB_574.fna	98.0443	1256	1309
B._velezensis_strain_BS-G1.fna	B._velezensis_strain_JM199.fna	97.9844	1245	1309
